video_id,title,channel_title,channel_id,published_at,view_count,like_count_video,comment_count_yt,thumbnail_url,youtube_url,embed_url
impJiSfof9E,BREAKING NEWS: Foto Black Hole Pertama Dalam Sejarah,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2019-04-12T04:00:11Z,2850803,98692,7035,https://i.ytimg.com/vi/impJiSfof9E/maxresdefault.jpg,https://www.youtube.com/watch?v=impJiSfof9E,https://www.youtube.com/embed/impJiSfof9E
5_9wU8yJZ8w,Apakah Pesawat Sering Menabrak Burung Di Langit?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-12-14T08:01:54Z,594739,16661,1539,https://i.ytimg.com/vi/5_9wU8yJZ8w/sddefault.jpg,https://www.youtube.com/watch?v=5_9wU8yJZ8w,https://www.youtube.com/embed/5_9wU8yJZ8w
AxyPASIXz1k,Apakah Ada yang Lebih Kecil dari Atom?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2021-04-07T13:42:57Z,4449621,122827,7853,https://i.ytimg.com/vi/AxyPASIXz1k/maxresdefault.jpg,https://www.youtube.com/watch?v=AxyPASIXz1k,https://www.youtube.com/embed/AxyPASIXz1k
21seK8tKSYI,Apa Jadinya Jika Bumi Datar?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-03-23T03:53:36Z,3628019,88121,26903,https://i.ytimg.com/vi/21seK8tKSYI/maxresdefault.jpg,https://www.youtube.com/watch?v=21seK8tKSYI,https://www.youtube.com/embed/21seK8tKSYI
dghOCZmSEUQ,Kenapa Luar Angkasa Gelap?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-03-01T06:55:31Z,1090178,30998,2906,https://i.ytimg.com/vi/dghOCZmSEUQ/maxresdefault.jpg,https://www.youtube.com/watch?v=dghOCZmSEUQ,https://www.youtube.com/embed/dghOCZmSEUQ
Beod6J0genE,Di Sinilah Tempat di Bumi yang ‘Tanpa’ Gravitasi,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2022-05-14T09:38:51Z,988247,34162,1653,https://i.ytimg.com/vi/Beod6J0genE/maxresdefault.jpg,https://www.youtube.com/watch?v=Beod6J0genE,https://www.youtube.com/embed/Beod6J0genE
5Zi4qGpGop4,Dari Mana Bulan Kita Berasal?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2019-08-03T12:39:21Z,886168,31243,3333,https://i.ytimg.com/vi/5Zi4qGpGop4/maxresdefault.jpg,https://www.youtube.com/watch?v=5Zi4qGpGop4,https://www.youtube.com/embed/5Zi4qGpGop4
jPyd0Xv5LfY,Misteri Besar Sepeda yang Belum Terpecahkan,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2021-07-03T10:11:52Z,1197950,44604,3201,https://i.ytimg.com/vi/jPyd0Xv5LfY/maxresdefault.jpg,https://www.youtube.com/watch?v=jPyd0Xv5LfY,https://www.youtube.com/embed/jPyd0Xv5LfY
zbSe0xE7tg0,Apakah Manusia Bisa Hidup di Luar Angkasa?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2017-08-30T12:23:24Z,388118,9757,1152,https://i.ytimg.com/vi/zbSe0xE7tg0/maxresdefault.jpg,https://www.youtube.com/watch?v=zbSe0xE7tg0,https://www.youtube.com/embed/zbSe0xE7tg0
FjFsx6iQE3Y,Apakah Ada Kehidupan Lain di Luar Bumi?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2015-12-24T15:57:57Z,5754741,90592,8959,https://i.ytimg.com/vi/FjFsx6iQE3Y/maxresdefault.jpg,https://www.youtube.com/watch?v=FjFsx6iQE3Y,https://www.youtube.com/embed/FjFsx6iQE3Y
rha05J96bOM,Seberapa Besar Bintang Bisa Terbentuk?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2021-04-18T16:17:56Z,1009287,31573,2462,https://i.ytimg.com/vi/rha05J96bOM/maxresdefault.jpg,https://www.youtube.com/watch?v=rha05J96bOM,https://www.youtube.com/embed/rha05J96bOM
FGdLT8UuBZI,Apa Itu Gerhana Bulan Raksasa (Supermoon)?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2018-01-30T18:12:23Z,473942,11662,1431,https://i.ytimg.com/vi/FGdLT8UuBZI/maxresdefault.jpg,https://www.youtube.com/watch?v=FGdLT8UuBZI,https://www.youtube.com/embed/FGdLT8UuBZI
2EVv7dmTFik,Bagaimana Matahari Terbakar Tanpa Oksigen di Luar Angkasa?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2017-07-26T15:10:12Z,1365521,27415,2580,https://i.ytimg.com/vi/2EVv7dmTFik/maxresdefault.jpg,https://www.youtube.com/watch?v=2EVv7dmTFik,https://www.youtube.com/embed/2EVv7dmTFik
YljSXjd4lnk,Kenapa Pesawat Bisa Terbang?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2017-04-19T15:19:49Z,3037930,44229,4959,https://i.ytimg.com/vi/YljSXjd4lnk/maxresdefault.jpg,https://www.youtube.com/watch?v=YljSXjd4lnk,https://www.youtube.com/embed/YljSXjd4lnk
Tx87wEaDtxo,Apa Itu Black Hole Sebenarnya?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2015-11-11T15:42:17Z,2165562,49012,4430,https://i.ytimg.com/vi/Tx87wEaDtxo/maxresdefault.jpg,https://www.youtube.com/watch?v=Tx87wEaDtxo,https://www.youtube.com/embed/Tx87wEaDtxo
iyJeozHhvJI,Apa Yang Terjadi Jika Bulan Lenyap?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2017-05-31T10:16:15Z,1282801,29280,3768,https://i.ytimg.com/vi/iyJeozHhvJI/maxresdefault.jpg,https://www.youtube.com/watch?v=iyJeozHhvJI,https://www.youtube.com/embed/iyJeozHhvJI
twXOQyxZWxY,Benarkah Ngelipat Kertas Bisa Ngebawa Kita Sampai ke Bulan?,Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2021-04-21T14:50:13Z,431521,18224,1862,https://i.ytimg.com/vi/twXOQyxZWxY/maxresdefault.jpg,https://www.youtube.com/watch?v=twXOQyxZWxY,https://www.youtube.com/embed/twXOQyxZWxY
H_5TPzquRyo,"Apakah Teori Gravitasi dan Evolusi Hanya Sebuah ""Teori""? (Ft. Sainsbro)",Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2016-02-25T01:00:00Z,1308470,31091,5922,https://i.ytimg.com/vi/H_5TPzquRyo/maxresdefault.jpg,https://www.youtube.com/watch?v=H_5TPzquRyo,https://www.youtube.com/embed/H_5TPzquRyo
JRJ1ngbUe6A,Bagaimana Satelit Bisa Melayang Dan Tak Jatuh Dari Langit? (Ft. Telkom Indonesia),Kok Bisa?,UCu0yQD7NFMyLu_-TmKa4Hqg,2017-02-13T14:39:58Z,1116343,20011,4137,https://i.ytimg.com/vi/JRJ1ngbUe6A/maxresdefault.jpg,https://www.youtube.com/watch?v=JRJ1ngbUe6A,https://www.youtube.com/embed/JRJ1ngbUe6A
